27-02-2025 13:13:56:011 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/auth.log
27-02-2025 13:15:03:299 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
27-02-2025 13:15:07:669 | ERROR | mod_generator | Failed login attempt for user 'Joaquim' from IP 192.168.1.1
27-02-2025 13:15:11:859 | INFO | mod_generator | Successful login for user 'Ana' from IP 192.168.1.1
27-02-2025 13:15:13:806 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 198.51.100.5
27-02-2025 13:15:16:610 | WARNING | mod_generator | File access: User 'Joaquim' accessed /var/log/syslog.log
27-02-2025 13:15:17:809 | INFO | mod_generator | Successful login for user 'Ana' from IP 198.51.100.5
27-02-2025 13:15:22:236 | INFO | mod_generator | Successful login for user 'Carla' from IP 203.0.113.4
27-02-2025 13:15:23:822 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/secure.log
27-02-2025 13:15:27:302 | CRITICAL | mod_generator | Malware detected! Type: Trojan, User: 'Carla', IP: 172.16.0.3
27-02-2025 13:15:28:904 | INFO | mod_generator | Successful login for user 'Maria' from IP 198.168.1.98
27-02-2025 13:15:31:501 | INFO | mod_generator | Successful login for user 'Maria' from IP 172.16.0.3
27-02-2025 13:15:33:645 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/secure.log
27-02-2025 13:15:37:236 | CRITICAL | mod_generator | Malware detected! Type: Adware, User: 'Tiago', IP: 203.0.113.4
27-02-2025 13:15:41:320 | WARNING | mod_generator | Port scan detected from IP 198.168.1.98 targeting sensitive ports
27-02-2025 13:15:42:817 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/syslog.log
27-02-2025 13:15:45:848 | ERROR | mod_generator | Failed login attempt for user 'Ana' from IP 203.0.113.4
27-02-2025 13:15:49:329 | INFO | mod_generator | Successful login for user 'Pedro' from IP 203.0.113.4
27-02-2025 13:15:51:099 | INFO | mod_generator | Successful login for user 'Maria' from IP 203.0.113.4
27-02-2025 13:15:53:154 | WARNING | mod_generator | File access: User 'Carla' accessed /var/log/syslog.log
27-02-2025 13:15:55:729 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
27-02-2025 13:15:59:239 | ERROR | mod_generator | Failed login attempt for user 'Bruno' from IP 198.168.1.98
27-02-2025 13:16:01:137 | INFO | mod_generator | Successful login for user 'Maria' from IP 192.168.1.1
27-02-2025 13:16:02:585 | WARNING | mod_generator | File access: User 'Joaquim' accessed /var/log/secure.log
27-02-2025 13:16:04:237 | CRITICAL | mod_generator | Malware detected! Type: Ransomware, User: 'Maria', IP: 172.16.0.3
27-02-2025 13:16:08:014 | INFO | mod_generator | Successful login for user 'Rui' from IP 192.168.1.1
27-02-2025 13:16:11:652 | INFO | mod_generator | Successful login for user 'Bruno' from IP 203.0.113.4
27-02-2025 13:16:13:410 | INFO | mod_generator | Successful login for user 'Joana' from IP 10.0.0.2
27-02-2025 13:16:15:480 | INFO | mod_generator | Successful login for user 'Maria' from IP 198.168.1.98
27-02-2025 13:16:17:500 | INFO | mod_generator | Successful login for user 'Maria' from IP 172.16.0.12
27-02-2025 13:16:20:740 | INFO | mod_generator | Successful login for user 'Tiago' from IP 192.168.1.1
27-02-2025 13:16:24:457 | ERROR | mod_generator | Failed login attempt for user 'Tiago' from IP 172.16.0.12
27-02-2025 13:16:25:623 | WARNING | mod_generator | File access: User 'Joana' accessed /var/log/secure.log
27-02-2025 13:16:28:564 | WARNING | mod_generator | File access: User 'Joana' accessed /var/log/auth.log
27-02-2025 13:16:31:812 | INFO | mod_generator | Successful login for user 'Ana' from IP 172.16.0.12
27-02-2025 13:16:33:641 | INFO | mod_generator | Successful login for user 'Maria' from IP 203.0.113.4
27-02-2025 13:16:36:656 | INFO | mod_generator | Successful login for user 'Maria' from IP 172.16.0.12
27-02-2025 13:16:39:688 | INFO | mod_generator | Successful login for user 'Ana' from IP 172.16.0.12
27-02-2025 13:16:43:747 | INFO | mod_generator | Successful login for user 'Pedro' from IP 203.0.113.4
27-02-2025 13:16:44:974 | CRITICAL | mod_generator | Malware detected! Type: Ransomware, User: 'Bruno', IP: 192.168.1.1
27-02-2025 13:16:46:513 | INFO | mod_generator | Successful login for user 'Bruno' from IP 198.51.100.5
27-02-2025 13:16:48:241 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/syslog.log
27-02-2025 13:16:51:254 | INFO | mod_generator | Successful login for user 'Joana' from IP 172.16.0.12
27-02-2025 13:16:56:214 | ERROR | mod_generator | Failed login attempt for user 'Bruno' from IP 10.0.0.2
27-02-2025 13:16:59:097 | ERROR | mod_generator | Failed login attempt for user 'Pedro' from IP 198.51.100.5
27-02-2025 13:17:00:377 | INFO | mod_generator | Successful login for user 'Joana' from IP 172.16.0.12
27-02-2025 13:17:01:427 | INFO | mod_generator | Successful login for user 'admin' from IP 203.0.113.4
27-02-2025 13:17:03:011 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/auth.log
27-02-2025 13:17:06:722 | INFO | mod_generator | Successful login for user 'Tiago' from IP 172.16.0.12
27-02-2025 13:17:09:220 | INFO | mod_generator | Successful login for user 'Rui' from IP 198.51.100.5
27-02-2025 13:17:10:335 | ERROR | mod_generator | Failed login attempt for user 'Ana' from IP 192.168.1.1
27-02-2025 13:17:13:367 | WARNING | mod_generator | Port scan detected from IP 172.16.0.12 targeting sensitive ports
27-02-2025 13:17:15:762 | INFO | mod_generator | Successful login for user 'Joana' from IP 192.168.1.1
27-02-2025 13:17:16:917 | WARNING | mod_generator | File access: User 'Tiago' accessed /var/log/syslog.log
27-02-2025 13:17:18:246 | WARNING | mod_generator | File access: User 'Rui' accessed /var/log/secure.log
27-02-2025 13:17:22:958 | INFO | mod_generator | Successful login for user 'Rui' from IP 198.168.1.98
27-02-2025 13:17:24:812 | WARNING | mod_generator | File access: User 'Tiago' accessed /var/log/syslog.log
27-02-2025 13:17:26:325 | WARNING | mod_generator | Port scan detected from IP 172.16.0.3 targeting sensitive ports
27-02-2025 13:17:27:326 | WARNING | mod_generator | File access: User 'Carla' accessed /var/log/syslog.log
27-02-2025 13:17:29:536 | INFO | mod_generator | Successful login for user 'Pedro' from IP 198.168.1.98
27-02-2025 13:17:30:672 | INFO | mod_generator | Successful login for user 'Maria' from IP 192.168.1.1
27-02-2025 13:17:34:237 | INFO | mod_generator | Successful login for user 'Rui' from IP 172.16.0.12
27-02-2025 13:17:36:427 | WARNING | mod_generator | File access: User 'Pedro' accessed /var/log/syslog.log
27-02-2025 13:17:38:423 | ERROR | mod_generator | Failed login attempt for user 'admin' from IP 172.16.0.3
27-02-2025 13:17:43:368 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/auth.log
27-02-2025 13:17:46:358 | ERROR | mod_generator | Failed login attempt for user 'admin' from IP 192.168.1.1
27-02-2025 13:17:49:570 | ERROR | mod_generator | Failed login attempt for user 'Bruno' from IP 172.16.0.3
27-02-2025 13:17:52:103 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/auth.log
27-02-2025 13:17:53:425 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/secure.log
27-02-2025 13:17:55:874 | INFO | mod_generator | Successful login for user 'admin' from IP 198.51.100.5
27-02-2025 13:18:00:570 | INFO | mod_generator | Successful login for user 'Carla' from IP 172.16.0.12
27-02-2025 13:18:05:020 | INFO | mod_generator | Successful login for user 'Rui' from IP 172.16.0.3
27-02-2025 13:18:09:554 | WARNING | mod_generator | File access: User 'Tiago' accessed /var/log/secure.log
27-02-2025 13:18:12:534 | CRITICAL | mod_generator | Malware detected! Type: Adware, User: 'admin', IP: 198.51.100.5
27-02-2025 13:18:17:124 | INFO | mod_generator | Successful login for user 'Pedro' from IP 192.168.1.1
27-02-2025 13:18:20:828 | INFO | mod_generator | Successful login for user 'Ana' from IP 198.168.1.98
27-02-2025 13:18:23:748 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/secure.log
27-02-2025 13:18:25:919 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/syslog.log
27-02-2025 13:18:30:083 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/syslog.log
27-02-2025 13:18:34:755 | INFO | mod_generator | Successful login for user 'Joana' from IP 198.168.1.98
27-02-2025 13:18:39:701 | INFO | mod_generator | Successful login for user 'Joana' from IP 172.16.0.12
27-02-2025 13:18:41:641 | INFO | mod_generator | Successful login for user 'Ana' from IP 192.168.1.1
27-02-2025 13:18:45:408 | INFO | mod_generator | Successful login for user 'Rui' from IP 198.51.100.5
27-02-2025 13:18:47:495 | WARNING | mod_generator | File access: User 'admin' accessed /var/log/secure.log
27-02-2025 13:18:51:775 | INFO | mod_generator | Successful login for user 'Rui' from IP 10.0.0.2
27-02-2025 13:18:53:008 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/auth.log
27-02-2025 13:18:56:204 | INFO | mod_generator | Successful login for user 'Rui' from IP 172.16.0.3
27-02-2025 13:18:58:333 | ERROR | mod_generator | Failed login attempt for user 'Maria' from IP 198.51.100.5
27-02-2025 13:18:59:793 | INFO | mod_generator | Successful login for user 'Joana' from IP 203.0.113.4
27-02-2025 13:19:01:994 | WARNING | mod_generator | File access: User 'Rui' accessed /var/log/secure.log
27-02-2025 13:19:06:049 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 203.0.113.4
27-02-2025 13:19:08:214 | WARNING | mod_generator | Port scan detected from IP 198.51.100.5 targeting sensitive ports
27-02-2025 13:19:11:756 | INFO | mod_generator | Successful login for user 'Maria' from IP 203.0.113.4
27-02-2025 13:19:14:741 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 172.16.0.3
27-02-2025 13:19:16:136 | INFO | mod_generator | Successful login for user 'admin' from IP 172.16.0.3
27-02-2025 13:19:17:667 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/syslog.log
27-02-2025 13:19:21:566 | CRITICAL | mod_generator | Malware detected! Type: Ransomware, User: 'Ana', IP: 198.51.100.5
27-02-2025 13:19:23:212 | WARNING | mod_generator | File access: User 'Rui' accessed /var/log/auth.log
27-02-2025 13:19:25:011 | INFO | mod_generator | Successful login for user 'Rui' from IP 198.168.1.98
27-02-2025 13:19:28:342 | ERROR | mod_generator | Failed login attempt for user 'admin' from IP 192.168.1.1
27-02-2025 13:19:29:861 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
27-02-2025 13:19:31:378 | WARNING | mod_generator | File access: User 'Tiago' accessed /var/log/secure.log
27-02-2025 13:19:33:193 | INFO | mod_generator | Successful login for user 'Bruno' from IP 192.168.1.1
27-02-2025 13:19:34:466 | CRITICAL | mod_generator | Malware detected! Type: Ransomware, User: 'Ana', IP: 198.51.100.5
27-02-2025 13:19:37:569 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/syslog.log
27-02-2025 13:19:42:120 | INFO | mod_generator | Successful login for user 'Tiago' from IP 172.16.0.3
27-02-2025 13:19:43:968 | WARNING | mod_generator | Port scan detected from IP 198.51.100.5 targeting sensitive ports
27-02-2025 13:19:46:928 | WARNING | mod_generator | Port scan detected from IP 172.16.0.3 targeting sensitive ports
27-02-2025 13:19:51:603 | INFO | mod_generator | Successful login for user 'admin' from IP 172.16.0.12
27-02-2025 13:19:52:978 | WARNING | mod_generator | File access: User 'Rui' accessed /var/log/secure.log
27-02-2025 13:19:57:238 | INFO | mod_generator | Successful login for user 'Tiago' from IP 172.16.0.3
27-02-2025 13:20:00:642 | INFO | mod_generator | Successful login for user 'Ana' from IP 172.16.0.3
27-02-2025 13:20:03:708 | INFO | mod_generator | Successful login for user 'Bruno' from IP 198.51.100.5
27-02-2025 13:20:06:784 | WARNING | mod_generator | Port scan detected from IP 10.0.0.2 targeting sensitive ports
27-02-2025 13:20:11:484 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/auth.log
27-02-2025 13:20:12:739 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/auth.log
27-02-2025 13:20:17:287 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/secure.log
27-02-2025 13:20:18:429 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/syslog.log
27-02-2025 13:20:22:052 | INFO | mod_generator | Successful login for user 'Tiago' from IP 172.16.0.12
27-02-2025 13:20:24:712 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/auth.log
27-02-2025 13:20:28:254 | WARNING | mod_generator | File access: User 'Joaquim' accessed /var/log/auth.log
27-02-2025 13:20:29:733 | ERROR | mod_generator | Failed login attempt for user 'Joana' from IP 172.16.0.3
27-02-2025 13:20:32:447 | WARNING | mod_generator | Port scan detected from IP 10.0.0.2 targeting sensitive ports
27-02-2025 13:20:33:952 | INFO | mod_generator | Successful login for user 'Maria' from IP 203.0.113.4
27-02-2025 13:20:38:085 | CRITICAL | mod_generator | Malware detected! Type: Adware, User: 'Rui', IP: 192.168.1.1
27-02-2025 13:20:39:710 | ERROR | mod_generator | Failed login attempt for user 'Carla' from IP 203.0.113.4
27-02-2025 13:20:42:785 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
27-02-2025 13:20:45:209 | WARNING | mod_generator | Port scan detected from IP 198.168.1.98 targeting sensitive ports
27-02-2025 13:20:48:173 | ERROR | mod_generator | Failed login attempt for user 'Joana' from IP 172.16.0.3
27-02-2025 13:20:51:860 | INFO | mod_generator | Successful login for user 'admin' from IP 198.168.1.98
27-02-2025 13:20:54:970 | WARNING | mod_generator | Port scan detected from IP 198.51.100.5 targeting sensitive ports
27-02-2025 13:20:56:368 | WARNING | mod_generator | Port scan detected from IP 198.168.1.98 targeting sensitive ports
27-02-2025 13:20:57:856 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 203.0.113.4
27-02-2025 13:21:00:402 | ERROR | mod_generator | Failed login attempt for user 'Rui' from IP 172.16.0.12
27-02-2025 13:21:02:239 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/secure.log
27-02-2025 13:21:06:849 | WARNING | mod_generator | Port scan detected from IP 172.16.0.3 targeting sensitive ports
27-02-2025 13:21:11:806 | INFO | mod_generator | Successful login for user 'Joana' from IP 198.168.1.98
27-02-2025 13:21:15:578 | WARNING | mod_generator | Port scan detected from IP 198.168.1.98 targeting sensitive ports
27-02-2025 13:21:20:363 | INFO | mod_generator | Successful login for user 'Pedro' from IP 203.0.113.4
27-02-2025 13:21:23:573 | WARNING | mod_generator | File access: User 'Pedro' accessed /var/log/secure.log
27-02-2025 13:21:26:759 | INFO | mod_generator | Successful login for user 'Tiago' from IP 192.168.1.1
27-02-2025 13:21:29:188 | INFO | mod_generator | Successful login for user 'Maria' from IP 10.0.0.2
27-02-2025 13:21:33:740 | CRITICAL | mod_generator | Malware detected! Type: Ransomware, User: 'admin', IP: 198.168.1.98
27-02-2025 13:21:37:207 | WARNING | mod_generator | File access: User 'Joana' accessed /var/log/auth.log
27-02-2025 13:21:39:961 | WARNING | mod_generator | Port scan detected from IP 172.16.0.12 targeting sensitive ports
27-02-2025 13:21:44:650 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 198.51.100.5
27-02-2025 13:21:48:516 | ERROR | mod_generator | Failed login attempt for user 'Carla' from IP 172.16.0.3
27-02-2025 13:21:50:618 | INFO | mod_generator | Successful login for user 'Tiago' from IP 203.0.113.4
27-02-2025 13:21:54:216 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/auth.log
27-02-2025 13:21:56:346 | INFO | mod_generator | Successful login for user 'Joana' from IP 192.168.1.1
27-02-2025 13:21:58:712 | INFO | mod_generator | Successful login for user 'Pedro' from IP 172.16.0.3
27-02-2025 13:22:02:268 | INFO | mod_generator | Successful login for user 'Pedro' from IP 192.168.1.1
27-02-2025 13:22:05:553 | INFO | mod_generator | Successful login for user 'Rui' from IP 198.168.1.98
27-02-2025 13:22:09:265 | INFO | mod_generator | Successful login for user 'admin' from IP 10.0.0.2
27-02-2025 13:22:12:608 | CRITICAL | mod_generator | Malware detected! Type: Ransomware, User: 'admin', IP: 192.168.1.1
27-02-2025 13:22:15:944 | INFO | mod_generator | Successful login for user 'Joana' from IP 192.168.1.1
27-02-2025 13:22:20:674 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 198.168.1.98
27-02-2025 13:22:25:357 | WARNING | mod_generator | Port scan detected from IP 172.16.0.12 targeting sensitive ports
27-02-2025 13:22:26:855 | CRITICAL | mod_generator | Malware detected! Type: Adware, User: 'Joaquim', IP: 10.0.0.2
27-02-2025 13:22:30:464 | WARNING | mod_generator | File access: User 'Pedro' accessed /var/log/secure.log
27-02-2025 13:22:35:319 | ERROR | mod_generator | Failed login attempt for user 'Pedro' from IP 198.51.100.5
27-02-2025 13:22:36:892 | INFO | mod_generator | Successful login for user 'Pedro' from IP 203.0.113.4
27-02-2025 13:22:41:416 | WARNING | mod_generator | Port scan detected from IP 172.16.0.3 targeting sensitive ports
27-02-2025 13:22:42:521 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/secure.log
27-02-2025 13:22:44:196 | INFO | mod_generator | Successful login for user 'Tiago' from IP 10.0.0.2
27-02-2025 13:22:48:075 | INFO | mod_generator | Successful login for user 'Rui' from IP 192.168.1.1
27-02-2025 13:22:50:821 | INFO | mod_generator | Successful login for user 'Ana' from IP 203.0.113.4
27-02-2025 13:22:54:859 | ERROR | mod_generator | Failed login attempt for user 'Pedro' from IP 198.168.1.98
27-02-2025 13:22:59:382 | INFO | mod_generator | Successful login for user 'Maria' from IP 192.168.1.1
27-02-2025 13:23:02:197 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/auth.log
27-02-2025 13:23:05:284 | INFO | mod_generator | Successful login for user 'Bruno' from IP 10.0.0.2
27-02-2025 13:23:07:019 | CRITICAL | mod_generator | Malware detected! Type: Trojan, User: 'Pedro', IP: 10.0.0.2
27-02-2025 13:23:09:177 | ERROR | mod_generator | Failed login attempt for user 'Joaquim' from IP 198.51.100.5
27-02-2025 13:23:11:613 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/secure.log
27-02-2025 13:23:13:701 | WARNING | mod_generator | File access: User 'Pedro' accessed /var/log/secure.log
27-02-2025 13:23:18:446 | INFO | mod_generator | Successful login for user 'Maria' from IP 10.0.0.2
27-02-2025 13:23:21:992 | WARNING | mod_generator | File access: User 'admin' accessed /var/log/secure.log
27-02-2025 13:23:25:725 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
27-02-2025 13:23:29:030 | INFO | mod_generator | Successful login for user 'Carla' from IP 172.16.0.12
27-02-2025 13:23:30:372 | INFO | mod_generator | Successful login for user 'Maria' from IP 198.168.1.98
27-02-2025 13:23:34:365 | ERROR | mod_generator | Failed login attempt for user 'Maria' from IP 192.168.1.1
27-02-2025 13:23:38:244 | ERROR | mod_generator | Failed login attempt for user 'Ana' from IP 10.0.0.2
27-02-2025 13:23:41:168 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
27-02-2025 13:23:43:560 | ERROR | mod_generator | Failed login attempt for user 'Tiago' from IP 198.51.100.5
27-02-2025 13:23:47:925 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
27-02-2025 13:23:49:946 | INFO | mod_generator | Successful login for user 'Pedro' from IP 10.0.0.2
27-02-2025 13:23:52:637 | WARNING | mod_generator | File access: User 'Maria' accessed /var/log/syslog.log
27-02-2025 13:23:53:766 | INFO | mod_generator | Successful login for user 'Pedro' from IP 203.0.113.4
27-02-2025 13:23:56:785 | WARNING | mod_generator | File access: User 'Carla' accessed /var/log/syslog.log
27-02-2025 13:23:59:341 | INFO | mod_generator | Successful login for user 'Ana' from IP 172.16.0.12
27-02-2025 13:24:04:145 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 198.168.1.98
27-02-2025 13:24:06:855 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/syslog.log
27-02-2025 13:24:07:920 | WARNING | mod_generator | Port scan detected from IP 10.0.0.2 targeting sensitive ports
27-02-2025 13:24:11:010 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 198.168.1.98
27-02-2025 13:24:12:323 | CRITICAL | mod_generator | Malware detected! Type: Trojan, User: 'Maria', IP: 172.16.0.12
27-02-2025 13:24:15:611 | WARNING | mod_generator | Port scan detected from IP 198.168.1.98 targeting sensitive ports
27-02-2025 13:24:19:891 | WARNING | mod_generator | File access: User 'admin' accessed /var/log/auth.log
27-02-2025 13:24:21:057 | CRITICAL | mod_generator | Malware detected! Type: Trojan, User: 'Pedro', IP: 172.16.0.12
27-02-2025 13:24:22:897 | ERROR | mod_generator | Failed login attempt for user 'Carla' from IP 203.0.113.4
27-02-2025 13:24:27:212 | WARNING | mod_generator | File access: User 'Rui' accessed /var/log/secure.log
27-02-2025 13:24:30:691 | INFO | mod_generator | Successful login for user 'Maria' from IP 172.16.0.12
27-02-2025 13:24:35:020 | ERROR | mod_generator | Failed login attempt for user 'Joana' from IP 203.0.113.4
27-02-2025 13:24:37:990 | INFO | mod_generator | Successful login for user 'admin' from IP 172.16.0.3
27-02-2025 13:24:42:061 | INFO | mod_generator | Successful login for user 'Tiago' from IP 172.16.0.12
27-02-2025 13:24:45:856 | INFO | mod_generator | Successful login for user 'Joana' from IP 198.168.1.98
27-02-2025 13:24:50:472 | INFO | mod_generator | Successful login for user 'Pedro' from IP 10.0.0.2
27-02-2025 13:24:54:956 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 203.0.113.4
27-02-2025 13:24:58:488 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 198.51.100.5
27-02-2025 13:25:00:730 | CRITICAL | mod_generator | Malware detected! Type: Trojan, User: 'Carla', IP: 172.16.0.3
27-02-2025 13:25:05:045 | WARNING | mod_generator | File access: User 'Tiago' accessed /var/log/syslog.log
27-02-2025 13:25:06:196 | INFO | mod_generator | Successful login for user 'Bruno' from IP 203.0.113.4
27-02-2025 13:25:07:983 | INFO | mod_generator | Successful login for user 'Joana' from IP 172.16.0.12
27-02-2025 13:25:09:425 | ERROR | mod_generator | Failed login attempt for user 'Rui' from IP 198.51.100.5
27-02-2025 13:25:11:777 | CRITICAL | mod_generator | Malware detected! Type: Adware, User: 'Tiago', IP: 198.168.1.98
27-02-2025 13:25:15:818 | INFO | mod_generator | Successful login for user 'Joana' from IP 203.0.113.4
27-02-2025 13:25:19:249 | INFO | mod_generator | Successful login for user 'Tiago' from IP 203.0.113.4
27-02-2025 13:25:23:667 | INFO | mod_generator | Successful login for user 'Carla' from IP 172.16.0.3
27-02-2025 13:25:28:319 | INFO | mod_generator | Successful login for user 'Maria' from IP 203.0.113.4
27-02-2025 13:25:29:596 | INFO | mod_generator | Successful login for user 'Maria' from IP 10.0.0.2
27-02-2025 13:25:32:684 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/syslog.log
27-02-2025 13:25:36:276 | ERROR | mod_generator | Failed login attempt for user 'Pedro' from IP 198.51.100.5
27-02-2025 13:25:38:812 | WARNING | mod_generator | File access: User 'Joaquim' accessed /var/log/secure.log
27-02-2025 13:25:42:560 | CRITICAL | mod_generator | Malware detected! Type: Adware, User: 'admin', IP: 198.51.100.5
27-02-2025 13:25:44:867 | INFO | mod_generator | Successful login for user 'Carla' from IP 203.0.113.4
27-02-2025 13:25:46:869 | ERROR | mod_generator | Failed login attempt for user 'Rui' from IP 203.0.113.4
27-02-2025 13:25:51:701 | ERROR | mod_generator | Failed login attempt for user 'Maria' from IP 203.0.113.4
27-02-2025 13:25:52:738 | INFO | mod_generator | Successful login for user 'Pedro' from IP 10.0.0.2
27-02-2025 13:25:54:780 | WARNING | mod_generator | File access: User 'Rui' accessed /var/log/auth.log
27-02-2025 13:25:58:198 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 198.51.100.5
27-02-2025 13:26:01:202 | WARNING | mod_generator | Port scan detected from IP 10.0.0.2 targeting sensitive ports
27-02-2025 13:26:03:388 | ERROR | mod_generator | Failed login attempt for user 'Carla' from IP 10.0.0.2
27-02-2025 13:26:05:260 | ERROR | mod_generator | Failed login attempt for user 'Ana' from IP 198.168.1.98
27-02-2025 13:26:09:107 | WARNING | mod_generator | Port scan detected from IP 203.0.113.4 targeting sensitive ports
27-02-2025 13:26:13:763 | INFO | mod_generator | Successful login for user 'Joana' from IP 172.16.0.3
27-02-2025 13:26:18:566 | WARNING | mod_generator | File access: User 'Carla' accessed /var/log/auth.log
27-02-2025 13:26:19:582 | INFO | mod_generator | Successful login for user 'Tiago' from IP 192.168.1.1
27-02-2025 13:26:21:489 | WARNING | mod_generator | Port scan detected from IP 172.16.0.3 targeting sensitive ports
27-02-2025 13:26:25:312 | INFO | mod_generator | Successful login for user 'Ana' from IP 198.51.100.5
27-02-2025 13:26:26:545 | WARNING | mod_generator | Port scan detected from IP 203.0.113.4 targeting sensitive ports
27-02-2025 13:26:28:960 | CRITICAL | mod_generator | Malware detected! Type: Adware, User: 'Bruno', IP: 10.0.0.2
27-02-2025 13:26:30:370 | INFO | mod_generator | Successful login for user 'Tiago' from IP 192.168.1.1
